Age,Gender,Exercise Level,Sleep Hours,Work Hours per Week,Stress Score
56,Female,Low,5.1,66.8,83.34
36,Male,High,6.8,40.0,40.19
20,Female,Low,9.8,69.9,53.44
38,Male,Medium,7.1,45.9,51.04
59,Female,High,6.7,67.1,51.99
20,Male,High,8.1,47.0,28.57
42,Female,Medium,8.9,38.3,34.97
37,Female,High,8.1,56.6,54.18
52,Female,Low,5.6,59.8,72.41
23,Female,Medium,7.4,21.9,37.54
61,Female,Medium,9.4,55.9,50.83
25,Female,High,7.1,77.7,64.53
62,Female,High,9.0,41.4,27.12
62,Male,Low,8.8,24.5,46.33
41,Male,High,8.9,62.4,51.94
50,Male,Low,9.6,59.1,66.64
26,Female,Medium,4.6,42.2,60.82
54,Male,Medium,9.3,48.3,33.82
31,Male,Low,8.3,34.2,40.7
44,Male,High,6.6,21.5,29.79
49,Male,Low,5.9,50.5,79.89
40,Male,Low,7.2,32.2,63.0
24,Male,High,5.0,75.8,73.63
23,Female,Medium,9.3,39.5,26.81
42,Male,Medium,4.7,33.7,58.51
30,Male,High,4.0,50.6,57.35
54,Male,High,5.6,34.6,38.15
49,Female,Low,6.4,23.9,51.22
29,Female,High,7.0,38.1,33.17
34,Male,Low,9.9,44.7,35.62
49,Male,Low,5.4,28.7,62.72
49,Female,High,8.0,65.7,50.29
55,Female,Low,7.8,58.0,63.78
33,Male,Low,5.9,31.2,47.56
37,Female,High,5.3,62.7,71.24
37,Female,High,5.0,61.5,65.14
35,Female,Low,8.1,64.1,65.81
48,Female,Medium,5.5,59.6,75.44
19,Male,Medium,9.4,74.0,54.73
26,Male,High,8.2,70.8,55.32
50,Female,High,9.6,67.1,50.12
52,Female,Medium,9.6,78.4,52.42
63,Female,Medium,8.2,59.1,47.65
50,Female,Low,7.0,30.7,54.31
25,Male,High,7.9,54.1,34.66
39,Male,Medium,5.5,78.4,80.03
25,Male,High,8.8,50.2,35.98
50,Male,Low,7.0,54.3,74.34
34,Female,Medium,9.7,74.9,49.32
58,Male,Low,6.6,78.0,88.41
50,Female,High,5.8,31.5,41.81
20,Female,Medium,7.3,76.2,67.2
57,Female,Medium,7.7,79.4,60.44
44,Female,Medium,5.9,70.9,69.21
56,Male,Medium,8.9,68.6,59.95
30,Female,Medium,4.0,57.7,64.93
25,Female,Medium,8.8,73.4,52.68
45,Female,Medium,6.6,60.3,62.62
39,Female,Medium,4.2,22.2,60.55
60,Female,Low,7.1,66.2,66.74
22,Male,Medium,4.3,51.9,65.7
57,Female,Low,9.8,62.9,48.58
36,Female,Medium,4.5,21.5,60.94
40,Male,Low,8.1,23.5,53.03
64,Female,Medium,4.6,31.0,60.54
18,Female,Low,8.4,53.3,57.05
20,Female,Medium,6.1,65.5,56.08
31,Female,Low,4.6,38.7,73.75
22,Female,Medium,8.6,68.4,50.88
47,Male,High,4.3,76.9,85.97
48,Female,Medium,9.6,50.1,45.16
62,Female,High,9.7,72.0,47.21
37,Female,Medium,7.4,27.7,47.28
60,Male,High,8.9,59.1,36.5
46,Male,High,6.3,22.3,39.94
40,Male,Medium,5.9,70.7,67.37
51,Male,Low,7.0,61.6,66.94
28,Male,Low,8.8,36.9,38.61
26,Female,High,9.9,44.8,23.68
56,Female,High,9.6,71.5,43.99
30,Male,Low,5.4,42.7,64.62
37,Female,Low,5.9,73.7,84.97
29,Male,Low,9.1,41.3,52.32
48,Female,High,7.0,25.0,29.59
29,Male,High,5.3,76.8,72.24
56,Male,Low,7.0,23.5,47.97
22,Male,High,7.3,62.3,56.83
26,Female,Medium,7.7,26.1,26.34
30,Female,Medium,6.4,73.5,61.66
46,Male,Medium,9.9,42.5,36.43
34,Male,High,9.9,65.2,35.81
48,Male,Low,6.3,62.3,74.32
36,Male,Medium,7.0,20.7,40.12
37,Female,Low,8.9,64.7,69.26
45,Female,Low,6.2,37.1,69.65
55,Male,Medium,8.8,78.7,61.06
64,Male,Medium,9.5,75.1,50.48
36,Female,Low,7.1,57.8,74.47
48,Male,Low,8.2,43.1,61.33
28,Female,Medium,9.7,73.4,49.94
45,Male,Medium,5.1,47.8,63.24
45,Female,Low,9.8,79.2,73.46
34,Male,Low,6.5,56.2,63.1
30,Female,High,8.9,77.0,53.18
64,Male,Medium,4.5,72.6,79.03
22,Male,Low,8.7,48.8,59.25
28,Male,Medium,6.3,78.2,75.99
30,Male,Medium,4.2,28.0,43.8
23,Female,Low,7.2,65.0,74.83
40,Male,Low,9.7,71.0,62.35
31,Male,Medium,5.5,36.5,45.39
18,Male,Medium,6.1,26.8,43.97
51,Female,Medium,9.0,38.5,40.89
61,Male,Medium,9.3,44.2,31.97
64,Male,High,8.7,58.4,46.72
56,Female,Medium,6.1,55.4,58.41
44,Male,High,8.4,52.8,44.58
32,Female,Medium,7.7,71.7,66.71
21,Female,Low,7.0,35.5,51.62
51,Female,Low,6.1,32.5,58.17
28,Male,High,4.8,27.7,36.05
33,Female,Low,9.4,48.4,50.37
36,Male,Low,6.1,40.9,59.32
23,Male,Low,6.8,32.4,49.23
31,Female,Low,5.9,25.5,51.28
39,Male,Medium,4.9,42.6,55.54
